Value,Measurement,Hour ,Plate
67020000,Live,25,P. syringae
62240000,Live,25,P. syringae
38140000,Live,25,P. syringae
51480000,Live,25,P. syringae
53900000,Live,25,P. syringae
49980000,Live,30,P. syringae
47152000,Live,30,P. syringae
51971500,Live,30,P. syringae
52619000,Live,30,P. syringae
44390500,Live,35,P. syringae
40673500,Live,35,P. syringae
45325000,Live,35,P. syringae
51054500,Live,35,P. syringae
67613000,Live,35,P. syringae
53655000,Live,40,P. syringae
52909500,Live,40,P. syringae
44915500,Live,40,P. syringae
55723500,Live,40,P. syringae
50193500,Live,40,P. syringae
42175000,Live,45,P. syringae
36522500,Live,45,P. syringae
25476500,Live,45,P. syringae
45314500,Live,45,P. syringae
37366000,Live,45,P. syringae
51383500,Live,25,P. syringae
61092500,Live,25,P. syringae
62604500,Live,25,P. syringae
33957000,Live,25,P. syringae
46368000,Live,25,P. syringae
41020000,Live,30,P. syringae
53700500,Live,30,P. syringae
55205500,Live,30,P. syringae
54306000,Live,30,P. syringae
34867000,Live,30,P. syringae
90916000,Live,35,P. syringae
64207500,Live,35,P. syringae
88354000,Live,35,P. syringae
93075500,Live,35,P. syringae
85078000,Live,35,P. syringae
40974500,Live,40,P. syringae
67935000,Live,40,P. syringae
29074500,Live,40,P. syringae
56966000,Live,40,P. syringae
41156500,Live,40,P. syringae
84773500,Live,45,P. syringae
22582000,Live,45,P. syringae
25809000,Live,45,P. syringae
33334000,Live,45,P. syringae
61089000,Live,45,P. syringae
1075300000,Live,25,C. violaceum
990500000,Live,25,C. violaceum
1370300000,Live,25,C. violaceum
1251200000,Live,25,C. violaceum
1259600000,Live,25,C. violaceum
1035100000,Live,30,C. violaceum
749600000,Live,30,C. violaceum
773550000,Live,30,C. violaceum
1137950000,Live,30,C. violaceum
1090700000,Live,30,C. violaceum
953550000,Live,35,C. violaceum
1036250000,Live,35,C. violaceum
963600000,Live,35,C. violaceum
827400000,Live,35,C. violaceum
1102500000,Live,35,C. violaceum
1454100000,Live,40,C. violaceum
748800000,Live,40,C. violaceum
1368250000,Live,40,C. violaceum
1340750000,Live,40,C. violaceum
1282900000,Live,40,C. violaceum
1261200000,Live,45,C. violaceum
984550000,Live,45,C. violaceum
888850000,Live,45,C. violaceum
1028600000,Live,45,C. violaceum
954100000,Live,45,C. violaceum
1719300000,Live,25,C. violaceum
1319850000,Live,25,C. violaceum
1245750000,Live,25,C. violaceum
1322000000,Live,25,C. violaceum
1540500000,Live,25,C. violaceum
1228850000,Live,30,C. violaceum
1265200000,Live,30,C. violaceum
1352700000,Live,30,C. violaceum
1437050000,Live,30,C. violaceum
1556700000,Live,30,C. violaceum
2371369000,Live,35,C. violaceum
2212056000,Live,35,C. violaceum
2900282000,Live,35,C. violaceum
2077229000,Live,35,C. violaceum
2271423000,Live,35,C. violaceum
1706650000,Live,40,C. violaceum
1725700000,Live,40,C. violaceum
1612300000,Live,40,C. violaceum
2113400000,Live,40,C. violaceum
2359950000,Live,40,C. violaceum
1950700000,Live,45,C. violaceum
2114500000,Live,45,C. violaceum
2227100000,Live,45,C. violaceum
1972600000,Live,45,C. violaceum
1725550000,Live,45,C. violaceum
1449950000,Live,25,B. thailandensis
1142500000,Live,25,B. thailandensis
1302400000,Live,25,B. thailandensis
1087950000,Live,25,B. thailandensis
844050000,Live,25,B. thailandensis
985400000,Live,30,B. thailandensis
681135000,Live,30,B. thailandensis
737880000,Live,30,B. thailandensis
737685000,Live,30,B. thailandensis
1255475000,Live,30,B. thailandensis
904020000,Live,35,B. thailandensis
964080000,Live,35,B. thailandensis
1126775000,Live,35,B. thailandensis
1145755000,Live,35,B. thailandensis
1388205000,Live,35,B. thailandensis
1263340000,Live,40,B. thailandensis
1259505000,Live,40,B. thailandensis
1284595000,Live,40,B. thailandensis
1398150000,Live,40,B. thailandensis
1328925000,Live,40,B. thailandensis
1258010000,Live,45,B. thailandensis
950105000,Live,45,B. thailandensis
792220000,Live,45,B. thailandensis
973505000,Live,45,B. thailandensis
1121315000,Live,45,B. thailandensis
1334645000,Live,25,B. thailandensis
1042210000,Live,25,B. thailandensis
1153815000,Live,25,B. thailandensis
1539265000,Live,25,B. thailandensis
869310000,Live,25,B. thailandensis
1389960000,Live,30,B. thailandensis
1114945000,Live,30,B. thailandensis
1497990000,Live,30,B. thailandensis
1772810000,Live,30,B. thailandensis
1040650000,Live,30,B. thailandensis
1009255000,Live,35,B. thailandensis
1042340000,Live,35,B. thailandensis
1297465000,Live,35,B. thailandensis
1315925000,Live,35,B. thailandensis
2579590000,Live,35,B. thailandensis
1838050000,Live,40,B. thailandensis
1393500000,Live,40,B. thailandensis
1942900000,Live,40,B. thailandensis
2494000000,Live,40,B. thailandensis
1197550000,Live,40,B. thailandensis
1571245000,Live,45,B. thailandensis
1622400000,Live,45,B. thailandensis
1423890000,Live,45,B. thailandensis
1383330000,Live,45,B. thailandensis
2562040000,Live,45,B. thailandensis
