""	"id"	"mass"	"RT"	"XS.2015_08_7_013_R1_15_TECHREP1_ESIN01"	"XS.2015_08_7_014_R3_15_TECHREP1_ESIN01"	"XS.2015_08_7_020_R4_15_TECHREP1_ESIN01"	"XS.2015_08_7_037_R2_15_TECHREP1_ESIN01"	"XS.2015_08_7_049_R4_15_TECHREP2_ESIN01"	"XS.2015_08_7_051_R1_15_TECHREP2_ESIN01"	"XS.2015_08_7_060_R3_15_TECHREP2_ESIN01"	"XS.2015_08_7_061_R2_15_TECHREP2_ESIN01"	"XS.2015_08_7_015_R2_20_TECHREP1_ESIN01"	"XS.2015_08_7_017_R3_20_TECHREP1_ESIN01"	"XS.2015_08_7_027_R1_20_TECHREP1_ESIN01"	"XS.2015_08_7_034_R4_20_TECHREP1_ESIN01"	"XS.2015_08_7_040_R3_20_TECHREP2_ESIN01"	"XS.2015_08_7_041_R2_20_TECHREP2_ESIN01"	"XS.2015_08_7_062_R4_20_TECHREP2_ESIN01"	"XS.2015_08_7_065_R1_20_TECHREP2_ESIN01"	"XS.2015_08_7_010_R1_25_TECHREP1_ESIN01"	"XS.2015_08_7_023_R2_25_TECHREP1_ESIN01"	"XS.2015_08_7_033_R3_25_TECHREP1_ESIN01"	"XS.2015_08_7_035_R4_25_TECHREP1_ESIN01"	"XS.2015_08_7_042_R4_25_TECHREP2_ESIN01"	"XS.2015_08_7_044_R1_25_TECHREP2_ESIN01"	"XS.2015_08_7_055_R3_25_TECHREP2_ESIN01"	"XS.2015_08_7_056_R2_25_TECHREP2_ESIN01"	"XS.2015_08_7_026_R4_30_TECHREP1_ESIN01"	"XS.2015_08_7_030_R3_30_TECHREP1_ESIN01"	"XS.2015_08_7_031_R1_30_TECHREP1_ESIN01"	"XS.2015_08_7_032_R2_30_TECHREP1_ESIN01"	"XS.2015_08_7_046_R4_30_TECHREP2_ESIN01"	"XS.2015_08_7_047_R2_30_TECHREP2_ESIN01"	"XS.2015_08_7_063_R1_30_TECHREP2_ESIN01"	"XS.2015_08_7_067_R3_30_TECHREP2_ESIN01"	"XS.2015_08_7_009_R4_35_TECHREP1_ESIN01"	"XS.2015_08_7_019_R1_35_TECHREP1_ESIN01"	"XS.2015_08_7_021_R2_35_TECHREP1_ESIN01"	"XS.2015_08_7_025_R3_35_TECHREP1_ESIN01"	"XS.2015_08_7_039_R3_35_TECHREP2_ESIN01"	"XS.2015_08_7_050_R4_35_TECHREP2_ESIN01"	"XS.2015_08_7_052_R1_35_TECHREP2_ESIN01"	"XS.2015_08_7_066_R2_35_TECHREP2_ESIN01"	"XS.2015_08_7_012_R4_NC_TECHREP1_ESIN01"	"XS.2015_08_7_016_R2_NC_TECHREP1_ESIN01"	"XS.2015_08_7_022_R3_NC_TECHREP1_ESIN01"	"XS.2015_08_7_029_R1_NC_TECHREP1_ESIN01"	"XS.2015_08_7_043_R1_NC_TECHREP2_ESIN01"	"XS.2015_08_7_054_R2_NC_TECHREP2_ESIN01"	"XS.2015_08_7_057_R3_NC_TECHREP2_ESIN01"	"XS.2015_08_7_064_R4_NC_TECHREP2_ESIN01"	"XS.2015_08_7_018_QC06_ESIN01"	"XS.2015_08_7_028_QC07_ESIN01"	"XS.2015_08_7_038_QC08_ESIN01"	"XS.2015_08_7_048_QC09_ESIN01"	"XS.2015_08_7_058_QC10_ESIN01"	"XS.2015_08_7_068_QC11_ESIN01"	"XS.2015_08_7_069_QC_DILUTION_1.2_ESIN01"	"XS.2015_08_7_070_QC_DILUTION_1.4_ESIN01"	"XS.2015_08_7_071_QC_DILUTION_1.8_ESIN01"	"dilcorr"
"1"	5	716.411201829581	600.987578810307	105	300.48046875	419	181	344.21484375	175	218	133.053833007812	5389.234375	4897.68359375	1357.453125	11437.8046875	3109.05078125	4407.93359375	8571.734375	1180.3828125	31832.984375	16612.109375	20735.625	63163.15625	61692.59375	16070.3125	16341.3203125	9877.0078125	186394.625	46365.34375	100953.375	54365.40625	137316.25	42908.84375	72622	32611.4375	818621.5	130320.8125	119861.9375	108257.6875	80597.3125	448002	81363.625	67926.6875	51	48	47	60	69	49	38	63	70697.8125	58262.4375	49649.3125	43806.875	38436.46875	36267.9375	14855.3828125	7152.79296875	2178.185546875	-0.995136508308508
"2"	8	734.288142210469	551.979177374589	1994.369140625	6085.3671875	6639.34375	2139.01953125	4562.28125	1515.7021484375	3287.728515625	1870.66015625	118202.8125	144646.125	57085.09375	64747.09375	92493.25	76875	49829.21875	36416.15625	302446.25	241341.5	311599	184661.875	169270.75	161777.125	240043.25	151064.5	350499	465595	373163	347388.75	261834	290115.5	252967.25	335475.25	750820	382454.25	199487.125	612407	500297.25	366606	226466.625	107713.0625	595.0224609375	432.419921875	174.420043945312	361.830810546875	162.186157226562	124.722717285156	115	189.990356445312	204910.625	175233.125	147001.5	125951.6875	114679.3125	110362.4375	50926	22508.78125	8950.4765625	-0.999179439071237
"3"	10	716.410617508226	600.987578810307	105	300.48046875	419	181	344.21484375	175	218	133.053833007812	5389.234375	4897.68359375	1357.453125	11437.8046875	3109.05078125	4407.93359375	8571.734375	1180.3828125	31832.984375	16612.109375	20735.625	63163.15625	61692.59375	16070.3125	16341.3203125	9877.0078125	186394.625	46365.34375	100953.375	54365.40625	137316.25	42908.84375	72622	32611.4375	818621.5	130320.8125	119861.9375	108257.6875	80597.3125	448002	81363.625	67926.6875	51	48	47	60	69	49	38	63	70697.8125	58262.4375	49649.3125	43806.875	38436.46875	36267.9375	14855.3828125	7152.79296875	2178.185546875	-0.995136508308508
"4"	12	736.285491596611	553.087545829907	1570.5546875	4209.296875	4518.15625	1326.3583984375	2742.93359375	826.7919921875	2301.869140625	1436.9873046875	84191.6875	98658.5	38507.84375	45169.6875	63370.875	54610.28125	33355.65625	25031.296875	215020.875	166169.625	220214.25	131877.625	118253.25	117873.125	166833.125	105821.8125	248781.625	335117	263217	247005.75	184698.875	206129.5	180203.625	237488.5	536273	267435.25	138806	443515	348989.25	260515	161973	76743.875	182	121.958190917969	99	121	101.872192382812	116	92	72.8596801757812	142504.5	124769.5625	103407.8125	86223.0625	82673.5625	73912.1875	35657.0625	14849.6015625	6032.52734375	-0.998847585387423
"5"	15	298.179119154227	666.216563442297	5170.35546875	20405.484375	14990.28125	3256.244140625	6364.94140625	1909.6943359375	6653.8203125	2512.744140625	73461.5	45913.78125	33310.6875	91878.5625	25688.359375	41014.71875	59907.1875	15569.375	269748.5	79619.4375	86242.75	131235.375	118285.75	118683.0625	52883.96875	37982.125	150247.625	96569.5	273779.75	96956.75	99010.625	75969.875	161106.5	51653.0625	447280	159569.625	189723.75	196553.5	137774.375	174157.75	78113.4375	79121.375	87	80	110.921142578125	51	111	47	50.3949890136719	107	105349	78223.8125	62581.4375	49337.84375	43474.34375	42504.90625	17637.59375	7154.09765625	2197.759765625	-0.997312765817299
"6"	16	282.1842462503	671.458654570998	25848.265625	24471.46875	20657.09375	10329.765625	10570.8828125	11854.171875	10390.71875	8716.7578125	185157.875	88150.125	145450.75	202562.125	46192.28125	104425.5	156932.625	85917.75	580838	223217.875	167434	235125.75	216997.625	239245.125	124506.5	145853.25	281239.75	196014.125	384809	253893	172371.625	185709.75	286664.75	151863	754141	421601	431433.75	402003.5	262317	334488.25	248145.25	237510	304.455810546875	207.812744140625	315.911376953125	124	243.303466796875	99.2987060546875	184	223.358154296875	247735.125	178405.25	139240.125	150589.25	133288.375	114741.375	64111.84375	29319.984375	12458.4296875	-0.996490087744487
"7"	18	717.413930163614	601.289013243558	75	165	176.77392578125	155	208.635620117188	94	128	77	2210.107421875	1581.359375	618.8212890625	4221.0625	1122.8603515625	1557.9423828125	3442.328125	474.47900390625	13277.109375	5841.27734375	8454.921875	27010.25	25299.265625	6330.21875	6476.3671875	4347.671875	83395.25	18950.390625	44554.3125	21228.796875	59628.125	17250.234375	29977.796875	12707.4375	360938.5	58030.96875	51985.46875	46617.78125	35962.40625	204496.375	35603.1875	29491.6875	44	38	56	48	41	46	46	49	29335.390625	24382.4375	20343.171875	17220.796875	15586.21875	15055.8125	5919.4375	2598.708984375	966.30419921875	-0.999440682825519
"8"	24	298.179755471153	666.216563442297	5170.35546875	20405.484375	14990.28125	3256.244140625	6364.94140625	1909.6943359375	6653.8203125	2512.744140625	73461.5	45913.78125	33310.6875	91878.5625	25688.359375	41014.71875	59907.1875	15569.375	269748.5	79619.4375	86242.75	131235.375	118285.75	118683.0625	52883.96875	37982.125	150247.625	96569.5	273779.75	96956.75	99010.625	75969.875	161106.5	51653.0625	447280	159569.625	189723.75	196553.5	137774.375	174157.75	78113.4375	79121.375	87	80	110.921142578125	51	111	47	50.3949890136719	107	105349	78223.8125	62581.4375	49337.84375	43474.34375	42504.90625	17637.59375	7154.09765625	2197.759765625	-0.997312765817299
"9"	26	735.291826884808	551.949042069285	763.41943359375	1536.5283203125	1822.0283203125	755.05126953125	1183.0322265625	305	1161.67578125	588.869140625	38335.59375	46679.375	17553.46875	20185.265625	29697.34375	23555.140625	14833.28125	10447.8203125	103591.8125	78917.875	107293.8125	61077.375	55814.375	55067.8125	80542.5625	51043.3125	119848.375	159559	127203.8125	117136.4375	87184.1875	98064.0625	85630.625	114613.5625	259081.125	129856.9375	65916.4375	214597.25	169946.375	126868.8125	79645.4375	36198.6875	588.57568359375	469.9501953125	148	230.409912109375	212	150.134887695312	161	247.740600585938	68846.625	59401.15625	49562.5625	41298.65625	37795.71875	35639.84375	15625.4609375	6717.046875	2560.3359375	-0.999294247260365
"10"	28	717.413812286986	599.109802246094	75	165	176.77392578125	155	208.635620117188	94	128	77	2210.107421875	1581.359375	618.8212890625	4221.0625	1122.8603515625	1557.9423828125	3442.328125	474.47900390625	13277.109375	5841.27734375	8454.921875	27010.25	25299.265625	6330.21875	6476.3671875	4347.671875	83395.25	18950.390625	44554.3125	21228.796875	59628.125	17250.234375	29977.796875	12707.4375	360938.5	58030.96875	51985.46875	46617.78125	35962.40625	204496.375	35603.1875	29491.6875	39	38	56	48	41	42	46	49	29335.390625	24382.4375	20343.171875	17220.796875	15586.21875	15055.8125	5919.4375	2598.708984375	966.30419921875	-0.999440682825519
