SampleID	Time	BioRep	BioTech	Condition
XS-2015_08_7_013_R1_15_TECHREP1_ESIN01	15	B1	B1_1	expt
XS-2015_08_7_019_R1_15_TECHREP2_ESIN01	15	B1	B1_2	expt
XS-2015_08_7_021_R2_15_TECHREP1_ESIN01	15	B2	B2_1	expt
XS-2015_08_7_037_R2_15_TECHREP2_ESIN01	15	B2	B2_2	expt
XS-2015_08_7_051_R1_35_TECHREP1_ESIN01	35	B1	B1_1	expt
XS-2015_08_7_052_R1_35_TECHREP2_ESIN01	35	B1	B1_2	expt
XS-2015_08_7_061_R2_35_TECHREP1_ESIN01	35	B2	B2_1	expt
XS-2015_08_7_066_R2_35_TECHREP2_ESIN01	35	B2	B2_2	expt
XS-2015_08_7_011_SOLVENT_EXT01_WITHOUT_SEPFUN	solvent	S1	S1_1	background
XS-2015_08_7_024_SOLVENT_EXT_01_WITH_SEPFUN_ESIN01	solvent	S1	S1_2	background
XS-2015_08_7_029_R1_NC_TECHREP1_ESIN01	media	M1	M1_1	background
2015_08_7_043_R1_NC_TECHREP2_ESIN01	media	M1	M1_2	background
XS-2015_08_7_069_QC_DILUTION_1-2_ESIN01	dil_series	D1	D1_1	qual_cont
